id,name,street,town,area,lat,lng,provider
80,Kirkegårdsgata,"Kirkegårdsgata 1, 0558 Oslo",Oslo,Oslo,59.92195,10.76385,Oslo kommune
2640,Kiwi Bjerke,"Økern torgvei 90, 0589 Oslo",Oslo,Oslo,59.94197,10.80913,Recharge
3014,Kiwi Bogstad,"Ankerveien 117, 0766 Oslo",Oslo,Oslo,59.962317,10.64335,Recharge
2296,Kiwi Mølla,"Thorvald Meyers gate 11, 0555 Oslo",Oslo,Oslo,59.92874,10.75789,Recharge
2276,Kjelsås stasjon,"Kjelsåsveien , 0491 Oslo",Oslo,Oslo,59.96612,10.78365,Oslo Kommune
921,"Kjølberggata, Oslo","Kjølberggata 27C, 0653 Oslo",Oslo,Oslo,59.91227,10.77737,Oslo kommune
1482,"Klaus Torgårdsvei, Oslo","Klaus Torgårdsvei 3, 0372 Oslo",Oslo,Oslo,59.94855,10.72508,Sognsveien 90 AS
3023,"Kolstadgata, Oslo","Kolstadgata 1, 0653 Oslo",Oslo,Oslo,59.91375,10.77424,Oslo kommune
62,Kongens P-plass Frognerkilen,"Frognerstranda 4, 0250 Oslo",Oslo,Oslo,59.9108,10.70557,Oslo kommune
89,"Kongens gate, Oslo","Kongens gate , 0153 Oslo",Oslo,Oslo,59.90775,10.73974,Oslo kommune
6435,Kongsvingergata 7-9,"Kongsvingergata 7-9, 0464 Oslo",Oslo,Oslo,59.93948,10.75497,Oslo kommune
237,"Kraft Foods Norge/Freia, Oslo","Seilduksgata 32, 0566 Oslo",Oslo,Oslo,59.92569,10.76531,Kraft Foods Norge Production AS
1979,Kranveien,"Kranveien , 0684 Oslo",Oslo,Oslo,59.90344,10.84625,Oslo kommune
2512,Krebs gate,"Krebs gate , 0478 Oslo",Oslo,Oslo,59.93577,10.76794,Oslo kommune
6861,Kristinelundveien,"Kristinelundveien 12-14, 0268 Oslo",Oslo,Oslo,59.920963,10.698015,Oslo kommune
